graphic card type,resolution (px),CPU cores,RAM size,operating system,drive type,input devices,multimedia,RAM type,CPU clock speed (GHz),CPU model,state,drive memory size (GB),warranty,screen size,buynow_price
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1000,producer warranty,"15"" - 15.9""",3399
,,not applicable,,,,,,,,,new,,producer warranty,,5950
integrated graphics,1920 x 1080,2,32 gb,['windows 10 professional'],ssd + hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,2.5,intel core i5,new,1250,producer warranty,"15"" - 15.9""",4519
integrated graphics,1366 x 768,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.7,intel core i3,new,128,seller warranty,"15"" - 15.9""",1679
dedicated graphics,1920 x 1080,4,16 gb,['windows 10 professional'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1512,producer warranty,"17"" - 17.9""",5099
integrated graphics,1366 x 768,2,2 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers']",ddr3,1.6,intel celeron dual-core,new,152,producer warranty,"11.9"" and less",1199
integrated graphics,1366 x 768,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.1,intel pentium dual-core,new,2000,seller warranty,"15"" - 15.9""",1490
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.3,intel core i5,new,256,producer warranty,"17"" - 17.9""",3850
dedicated graphics,1920 x 1080,4,16 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1120,producer warranty,"15"" - 15.9""",5399
dedicated graphics,,4,4 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",,,intel core i5,new,1000,producer warranty,"15"" - 15.9""",3099
integrated graphics,3840 x 2160,4,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,1.8,intel core i7,new,,producer warranty,"13"" - 13.9""",7199
dedicated graphics,1920 x 1080,4,16 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1512,producer warranty,"15"" - 15.9""",5049
dedicated graphics,1920 x 1080,2,16 gb,['windows 10 professional'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,756,producer warranty,"14"" - 14.9""",4889
integrated graphics,1920 x 1080,2,12 gb,['no system'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.3,intel core i5,new,1000,producer warranty,"15"" - 15.9""",2499
dedicated graphics,1920 x 1080,4,16 gb,['no system'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,512,producer warranty,"15"" - 15.9""",4357
dedicated graphics,1920 x 1080,4,32 gb,['no system'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,480,producer warranty,"15"" - 15.9""",6473
integrated graphics,3200 x 1800,2,16 gb,,ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.5,intel core i7,new,512,producer warranty,"13"" - 13.9""",4408.89
dedicated graphics,1920 x 1080,4,16 gb,['no system'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1512,producer warranty,"15"" - 15.9""",6738
integrated graphics,1920 x 1080,2,8 gb,['windows 7 professional 64-bit'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2.3,intel core i5,new,256,producer warranty,"15"" - 15.9""",2750
integrated graphics,1280 x 800,4,2 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.44,,new,32,producer warranty,"11.9"" and less",1249
integrated graphics,1366 x 768,4,8 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,1.1,intel pentium quad-core ,new,240,producer warranty,"15"" - 15.9""",2129
dedicated graphics,,2,12 gb,['no system'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,,intel core i5,new,256,producer warranty,"15"" - 15.9""",3007
integrated graphics,1366 x 768,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.2,intel core i5,new,1000,seller warranty,"15"" - 15.9""",1729
dedicated graphics,1920 x 1080,4,12 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2.6,intel core i7,new,1000,producer warranty,"17"" - 17.9""",4099
dedicated graphics,1366 x 768,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.1,intel core i7,new,1000,producer warranty,"15"" - 15.9""",2799
dedicated graphics,1920 x 1080,4,16 gb,['no system'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.3,intel core i5,new,250,producer warranty,"17"" - 17.9""",3899
integrated graphics,1366 x 768,2,6 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i7,new,500,producer warranty,"15"" - 15.9""",2299
dedicated graphics,1920 x 1080,2,16 gb,"['windows 10 home', 'other']",ssd + hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.7,intel core i7,new,2256,producer warranty,"17"" - 17.9""",4299
integrated graphics,1366 x 768,2,4 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.4,intel core i3,new,128,producer warranty,"15"" - 15.9""",2599
integrated graphics,1920 x 1080,4,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,1.6,intel core i5,new,256,producer warranty,"14"" - 14.9""",3899
integrated graphics,1366 x 768,2,4 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.35,amd e1,new,128,seller warranty,"15"" - 15.9""",1199
integrated graphics,1920 x 1080,2,16 gb,['windows 10 professional'],ssd + hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers']",ddr4,2.5,intel core i5,new,2000,producer warranty,"15"" - 15.9""",4709
dedicated graphics,1920 x 1080,2,8 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.3,intel core i3,new,1120,producer warranty,"15"" - 15.9""",2899
dedicated graphics,1366 x 768,2,4 gb,['windows 10 home'],hybrid,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.7,intel core i3,new,500,seller warranty,"15"" - 15.9""",1598
dedicated graphics,1920 x 1080,4,32 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,250,producer warranty,"17"" - 17.9""",5499
integrated graphics,1920 x 1080,2,8 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2.3,intel core i5,new,256,producer warranty,"15"" - 15.9""",5999
dedicated graphics,1920 x 1080,2,8 gb,['windows 10 home'],ssd,['touchpad'],"['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,240,producer warranty,"15"" - 15.9""",3999
integrated graphics,1366 x 768,2,4 gb,['windows 10 home'],emmc,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,1.6,intel celeron ,new,64,producer warranty,"14"" - 14.9""",959
dedicated graphics,1920 x 1080,4,16 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1000,seller warranty,"17"" - 17.9""",4500
dedicated graphics,,4,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1000,producer warranty,"15"" - 15.9""",3983
dedicated graphics,1920 x 1080,2,12 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,240,producer warranty,"15"" - 15.9""",2699
integrated graphics,1920 x 1080,2,8 gb,['windows 10 professional'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,2.4,intel core i3,new,1000,producer warranty,"15"" - 15.9""",2549
dedicated graphics,1366 x 768,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.7,intel pentium dual-core,new,500,seller warranty,"15"" - 15.9""",1369
integrated graphics,1920 x 1080,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.4,intel core i3,new,128,producer warranty,"14"" - 14.9""",2789
dedicated graphics,1920 x 1080,2,4 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,2.4,intel core i3,new,256,producer warranty,"15"" - 15.9""",2499
dedicated graphics,1920 x 1080,4,12 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,1.6,intel core i5,new,256,producer warranty,"15"" - 15.9""",3649
dedicated graphics,1920 x 1080,4,8 gb,['no system'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1000,producer warranty,"15"" - 15.9""",5499
integrated graphics,1366 x 768,2,8 gb,['windows 10 home'],hdd,,"['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2.3,intel core i5,new,1000,producer warranty,"15"" - 15.9""",2529
integrated graphics,1920 x 1080,2,12 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,2,intel core i3,new,480,producer warranty,"15"" - 15.9""",2799
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.3,intel core i5,new,128,producer warranty,"14"" - 14.9""",3099
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,960,producer warranty,"15"" - 15.9""",4699
dedicated graphics,1920 x 1080,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,480,producer warranty,"15"" - 15.9""",3749
integrated graphics,1366 x 768,2,2 gb,['windows 10 home'],emmc,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,,other CPU,new,32,seller warranty,"11.9"" and less",799
integrated graphics,1920 x 1080,2,4 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,240,producer warranty,"15"" - 15.9""",2959
,,1,,,,,,,,,new,,producer warranty,,10790
integrated graphics,1920 x 1080,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1000,producer warranty,"15"" - 15.9""",2099
dedicated graphics,1920 x 1080,2,4 gb,['no system'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.4,intel core i3,new,240,producer warranty,"15"" - 15.9""",2587
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1240,producer warranty,"15"" - 15.9""",4299
integrated graphics,1366 x 768,2,8 gb,"['windows 10 home', 'other']",ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.7,intel core i7,new,512,producer warranty,"13"" - 13.9""",4199
dedicated graphics,1920 x 1080,2,8 gb,['windows 10 home'],ssd,['touchpad'],"['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.7,intel core i7,new,256,producer warranty,"14"" - 14.9""",4385
integrated graphics,1366 x 768,2,4 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.1,intel core i3,new,256,seller warranty,"15"" - 15.9""",1699
dedicated graphics,1920 x 1080,2,8 gb,['windows 10 home'],ssd,['touchpad'],"['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,120,producer warranty,"15"" - 15.9""",3099
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1000,producer warranty,"15"" - 15.9""",7551
integrated graphics,1366 x 768,4,8 gb,['windows 10 professional'],,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,1.8,amd a6,new,120,producer warranty,"15"" - 15.9""",1949
dedicated graphics,1920 x 1080,4,8 gb,['no system'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1128,producer warranty,"15"" - 15.9""",5914
dedicated graphics,1366 x 768,2,6 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.4,intel core i3,new,500,seller warranty,"15"" - 15.9""",1559
dedicated graphics,1920 x 1080,4,8 gb,['no system'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1000,producer warranty,"15"" - 15.9""",3399
integrated graphics,1366 x 768,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.7,intel core i5,new,256,seller warranty,"15"" - 15.9""",2119
integrated graphics,1366 x 768,2,4 gb,['windows 10 professional'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1000,producer warranty,"15"" - 15.9""",2349
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1256,producer warranty,"15"" - 15.9""",4250
integrated graphics,1366 x 768,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.4,intel core i3,new,500,seller warranty,"15"" - 15.9""",1381
integrated graphics,1366 x 768,2,,,ssd,,,,,intel core i7,new,,producer warranty,"12"" - 12.9""",4999
dedicated graphics,1920 x 1080,4,12 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers']",ddr4,2.6,intel core i7,new,480,producer warranty,"15"" - 15.9""",5524
dedicated graphics,1920 x 1080,2,4 gb,['no system'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.4,intel core i3,new,1000,producer warranty,"15"" - 15.9""",2199
,1920 x 1080,4,8 gb,['windows 10 home'],,['touchpad'],"['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,1.8,intel core i7,new,256,producer warranty,"15"" - 15.9""",4399
integrated graphics,1366 x 768,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.2,intel core i5,new,1000,seller warranty,"15"" - 15.9""",1609
dedicated graphics,1920 x 1080,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,1000,producer warranty,"15"" - 15.9""",2499
integrated graphics,1600 x 900,2,8 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.1,intel pentium dual-core,new,120,producer warranty,"17"" - 17.9""",2249
dedicated graphics,1920 x 1080,2,12 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,2,intel core i3,new,120,producer warranty,"15"" - 15.9""",2629
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],ssd + hdd,"['touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,,intel core i7,new,500,producer warranty,"14"" - 14.9""",2520
dedicated graphics,1366 x 768,4,8 gb,['no system'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2,amd a6,new,1000,producer warranty,"15"" - 15.9""",1649
dedicated graphics,1920 x 1080,4,32 gb,['no system'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1500,producer warranty,"15"" - 15.9""",5299
dedicated graphics,1366 x 768,4,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.9,amd a8,new,128,seller warranty,"15"" - 15.9""",1619
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers']",ddr4,2.8,intel core i7,new,1256,producer warranty,"15"" - 15.9""",6382
dedicated graphics,,4,16 gb,['no system'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1128,producer warranty,"15"" - 15.9""",4557
integrated graphics,1366 x 768,2,8 gb,['windows 7 professional 64-bit'],ssd,"['keyboard', 'touchpad']",['SD card reader'],ddr3,,intel core i5,new,120,seller warranty,"15"" - 15.9""",1489
dedicated graphics,1366 x 768,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.4,intel core i3,new,500,seller warranty,"15"" - 15.9""",1619
dedicated graphics,1920 x 1080,4,16 gb,['no system'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,2000,producer warranty,"15"" - 15.9""",4169
integrated graphics,1366 x 768,2,12 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2.1,,new,480,producer warranty,"15"" - 15.9""",2599
integrated graphics,1920 x 1080,2,8 gb,['windows 10 home'],ssd,['touchpad'],"['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,480,producer warranty,"15"" - 15.9""",3099
integrated graphics,1920 x 1080,2,8 gb,['no system'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers']",ddr4,2,intel core i3,new,120,producer warranty,"15"" - 15.9""",2625
integrated graphics,1920 x 1080,2,8 gb,"['windows 10 home', 'other']",ssd + hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.3,intel core i5,new,1756,producer warranty,"15"" - 15.9""",2199
,,2,,,,,,,,,new,256,producer warranty,,5065
dedicated graphics,1920 x 1080,4,12 gb,['windows 10 home'],hybrid,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1000,seller warranty,"17"" - 17.9""",3599
dedicated graphics,1920 x 1080,4,16 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,240,producer warranty,"15"" - 15.9""",4549
dedicated graphics,1920 x 1080,4,4 gb,['no system'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1000,producer warranty,"15"" - 15.9""",4663
dedicated graphics,1920 x 1080,4,16 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1000,producer warranty,"15"" - 15.9""",3799
dedicated graphics,1920 x 1080,2,8 gb,"['windows 10 home', 'other']",ssd + hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2.5,intel core i7,new,1756,producer warranty,"15"" - 15.9""",3099
dedicated graphics,1920 x 1080,4,16 gb,['no system'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,960,producer warranty,"15"" - 15.9""",5199
,,2,,,,,,,,,new,,producer warranty,,1399
integrated graphics,1366 x 768,2,8 gb,['no system'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,amd a6,new,240,producer warranty,"15"" - 15.9""",1749
integrated graphics,1366 x 768,2,2 gb,['no system'],hdd,,,,1.6,intel celeron ,new,250,seller warranty,"11.9"" and less",800
dedicated graphics,1920 x 1080,4,12 gb,['no system'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.3,intel core i5,new,480,producer warranty,"17"" - 17.9""",5043
dedicated graphics,1366 x 768,2,8 gb,,ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.3,intel core i5,new,256,seller warranty,"14"" - 14.9""",3230.28
dedicated graphics,1920 x 1080,4,8 gb,['no system'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,1.6,intel core i5,new,1000,producer warranty,"15"" - 15.9""",3449
dedicated graphics,1600 x 900,2,8 gb,['windows 7 professional 64-bit'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.3,intel core i5,new,120,producer warranty,"17"" - 17.9""",2999
dedicated graphics,1920 x 1080,4,12 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1000,seller warranty,"15"" - 15.9""",4350
dedicated graphics,1920 x 1080,4,16 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers']",ddr4,2.8,intel core i7,new,2256,producer warranty,"15"" - 15.9""",4949
integrated graphics,1920 x 1080,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,1000,producer warranty,"15"" - 15.9""",1949
dedicated graphics,1920 x 1080,4,16 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,480,producer warranty,"15"" - 15.9""",5749
dedicated graphics,1366 x 768,2,8 gb,['no system'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,120,producer warranty,"15"" - 15.9""",1999
integrated graphics,1920 x 1080,2,4 gb,['windows 10 professional'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,,intel core i7,new,,producer warranty,"15"" - 15.9""",2720
integrated graphics,1366 x 768,2,4 gb,['windows 10 home'],ssd,['touchpad'],"['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2.3,intel core i5,new,128,producer warranty,"15"" - 15.9""",2799
dedicated graphics,1920 x 1080,4,8 gb,['no system'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1120,producer warranty,"17"" - 17.9""",4099
,1920 x 1080,2,4 gb,['no system'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,,intel core i3,new,128,producer warranty,"13"" - 13.9""",2099
integrated graphics,1366 x 768,2,8 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,960,producer warranty,"15"" - 15.9""",3449
dedicated graphics,1920 x 1080,2,,,hdd,,,,,intel core i7,new,,producer warranty,"15"" - 15.9""",5049
integrated graphics,1366 x 768,2,8 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",,2.5,intel core i5,new,1128,seller warranty,"15"" - 15.9""",2800
